months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-02,1.279724157,1.171482943,1.080105915,1.007986474,0.953827726,0.915110375,0.88913024,0.873862818,0.868037382,0.870867998,0.881751566,0.900074066,0.925015703,0.955630321,0.991042681,1.030443452,1.073069825,1.118192593,1.165113557,1.213214482,1.261986558,1.311009161,1.359930691,1.408454187,1.456327103,1.503341805,1.549337305,1.594191993,1.637816845,1.680149996,1.721152357,1.760804056,1.799101527,1.836055116,1.871687084,1.906029963,1.939124845,1.971016555,2.001749286,2.031366301,2.05991005,2.08742226,2.113944027,2.139515881,2.164177852,2.187969524,2.210930084,2.233098359,2.25451277,2.275210321,2.295225642,2.314591101,2.333337028,2.351491892,2.369082482,2.386134046,2.402670435,2.418714217,2.43428679,2.449408477
2009-01-05,1.204601306,1.108470308,1.028331076,0.967214758,0.923078477,0.893224545,0.875082178,0.86659068,0.866484819,0.874048408,0.888785407,0.910196774,0.937601337,0.970216903,1.007298622,1.048137049,1.092047732,1.13836427,1.186439353,1.235692494,1.28563903,1.335871712,1.386043874,1.435856814,1.485051345,1.533412326,1.580772177,1.627003418,1.672011746,1.715730512,1.758116258,1.799145095,1.838809736,1.877117055,1.914086065,1.949746232,1.984135729,2.017296721,2.049271378,2.080101568,2.10982889,2.138494709,2.166140181,2.19280628,2.218533815,2.243363449,2.267335714,2.290491028,2.312869626,2.334510507,2.355450237,2.375723035,2.395360989,2.414394258,2.432851243,2.450758747,2.468142114,2.485025354,2.501431258,2.5173815
2009-01-06,1.173759827,1.083778738,1.012075327,0.961487888,0.928211159,0.908151017,0.898448542,0.897256215,0.903391202,0.916132651,0.935006076,0.959605121,0.989392939,1.023720719,1.06194121,1.103415605,1.14751105,1.193598997,1.241060775,1.289345994,1.338008337,1.386685813,1.43508243,1.482954439,1.530100425,1.576358843,1.621606098,1.665750248,1.708725551,1.750488091,1.791012262,1.830287909,1.868317982,1.905116611,1.94070751,1.975122645,2.008400805,2.040583341,2.071710565,2.101821584,2.130954455,2.159146301,2.186433427,2.212851409,2.238435176,2.263219079,2.287236957,2.310522183,2.333107663,2.355025135,2.376304446,2.396973646,2.417059155,2.436585913,2.455577518,2.474056343,2.492043646,2.509559661,2.526623692,2.543254184
2009-01-07,1.113437347,1.028730714,0.962625934,0.9144419,0.880541888,0.858013777,0.844851316,0.839812355,0.842154609,0.851345889,0.866862154,0.888157693,0.914615946,0.945568426,0.980379603,1.018442983,1.05917257,1.101997171,1.14636171,1.191770463,1.23781334,1.284149462,1.330492109,1.376597442,1.422256673,1.467297283,1.511583963,1.555012638,1.597505086,1.639004625,1.679472642,1.718885769,1.757233572,1.794516649,1.830745056,1.865936992,1.900117504,1.933315077,1.965558363,1.996875858,2.027295924,2.056846802,2.085556627,2.113453441,2.140565203,2.166919796,2.192545037,2.217468685,2.241718382,2.265320942,2.288301662,2.310684398,2.332491695,2.353744914,2.374464336,2.394669259,2.414378085,2.433608397,2.45237703,2.470700129
2009-01-08,1.090820817,0.987350319,0.906988443,0.852531458,0.818712453,0.799971303,0.791994647,0.791925009,0.798078351,0.809484031,0.825549783,0.845848024,0.870025199,0.897751505,0.928673722,0.962419022,0.998600727,1.036822163,1.076682421,1.117805841,1.159860312,1.202549194,1.24560361,1.288776664,1.331840092,1.374594238,1.41687781,1.45856263,1.49954792,1.539755736,1.579127286,1.617619939,1.655204772,1.691864558,1.727592094,1.762388809,1.796263448,1.82922937,1.861302131,1.892499034,1.922838914,1.952341954,1.981029534,2.008924087,2.03604899,2.062428457,2.088087448,2.113051598,2.137347068,2.16099965,2.184033901,2.206473175,2.228339739,2.24965487,2.270438948,2.290711534,2.310491445,2.329796814,2.34864515,2.367053391
2009-01-09,1.100528471,0.995742921,0.913318302,0.853672156,0.813249094,0.787998172,0.774398369,0.76980696,0.77244137,0.78122532,0.795534693,0.814892379,0.838774807,0.866627492,0.897922141,0.932153602,0.96883306,1.007483501,1.047640608,1.08888593,1.130867041,1.173284863,1.21588207,1.258434391,1.300744722,1.34264637,1.38400618,1.424719387,1.464704723,1.503900501,1.542261456,1.579756179,1.616365019,1.652078353,1.686895152,1.72082179,1.753870881,1.786058741,1.817403239,1.847923453,1.877639524,1.906572531,1.934744376,1.962177699,1.988895788,2.014922513,2.040282264,2.064999896,2.089100612,2.112609122,2.135548838,2.157941914,2.179809367,2.20117118,2.222046401,2.242453217,2.26240904,2.281930567,2.301033843,2.319734314
2009-01-12,1.157915162,1.046845748,0.96216753,0.897697445,0.850856348,0.818408595,0.79758741,0.786492952,0.783919534,0.788960957,0.800818689,0.818701158,0.841774949,0.869265215,0.900502524,0.934895378,0.971907291,1.011041511,1.051833298,1.093866769,1.136784512,1.180275892,1.224066882,1.267912435,1.311591808,1.354915725,1.397731944,1.439919643,1.481384005,1.522051883,1.561868304,1.600793629,1.638801232,1.675875583,1.712010666,1.747208656,1.781478674,1.814834396,1.847292029,1.878869866,1.909588033,1.939468272,1.968533748,1.996808893,2.024319263,2.051091415,2.077152801,2.102531675,2.127256945,2.151357115,2.174859132,2.197788387,2.220168867,2.242023282,2.263373182,2.284239062,2.304640451,2.324596,2.344123552,2.363240212
2009-01-13,1.130125432,1.020068422,0.936661973,0.877193167,0.8374408,0.812681211,0.798852189,0.793104985,0.793923828,0.800680003,0.813092802,0.830910353,0.853736846,0.88107778,0.912423803,0.947260127,0.985068125,1.025326397,1.067515852,1.111158575,1.155841764,1.20120546,1.24693106,1.292732703,1.338352124,1.38356821,1.428204432,1.472122134,1.51521401,1.557398873,1.598617445,1.638828932,1.678008226,1.716143596,1.753234779,1.789291385,1.824331333,1.858377288,1.891453648,1.92358611,1.954801517,1.985127716,2.014593445,2.04322823,2.071062299,2.098126503,2.124452254,2.150071461,2.175016403,2.199318595,2.223007641,2.246111278,2.268655553,2.290664984,2.312162694,2.333170539,2.353709215,2.373798364,2.393456658,2.412701881
2009-01-14,1.128753242,1.024653133,0.957119712,0.909142798,0.876681155,0.856497522,0.845921868,0.843077681,0.84681865,0.856453355,0.871447944,0.891308354,0.915499725,0.943463345,0.974692349,1.008721833,1.045116512,1.083462494,1.123363819,1.164457675,1.206423351,1.248973932,1.291848954,1.334808889,1.377632308,1.420126629,1.462136482,1.503538263,1.544234662,1.584150274,1.623228071,1.661426528,1.698717275,1.735083164,1.770516661,1.805018518,1.838596545,1.871263386,1.903034425,1.933927294,1.963961593,1.993158661,2.02154137,2.049133952,2.075961846,2.102051573,2.127430612,2.152127307,2.176170682,2.199589251,2.222409884,2.244657853,2.26635698,2.287529772,2.308197539,2.328380507,2.348097902,2.367368049,2.386208438,2.404635799
2009-01-15,1.125153075,1.016427225,0.948545517,0.901577093,0.86968239,0.849283414,0.837806609,0.833554948,0.835710538,0.843838537,0.857491246,0.876207814,0.89948857,0.926795371,0.957608043,0.991422962,1.027748189,1.066100221,1.106006068,1.147039551,1.188843458,1.231116364,1.273600507,1.316072688,1.358337917,1.40023114,1.441619643,1.482398122,1.522483956,1.561813424,1.600338658,1.638025169,1.674849814,1.710799132,1.745867961,1.780058281,1.813378147,1.845839621,1.877456939,1.908246106,1.938224683,1.9674116,1.995827001,2.0234921,2.050429065,2.076660915,2.10221143,2.127105069,2.151366837,2.17502145,2.198092545,2.220602698,2.24257353,2.264025791,2.284979443,2.305453726,2.325467226,2.345037926,2.364183262,2.382920168
2009-01-16,1.150400739,1.023801548,0.94121811,0.885931417,0.850792943,0.830080733,0.819710309,0.817139418,0.820997635,0.83058837,0.845495215,0.865353767,0.889698614,0.917994153,0.949731158,0.984426678,1.021616303,1.060849022,1.101687029,1.143732703,1.18664494,1.230128247,1.273922831,1.317797155,1.361543163,1.404981884,1.447968518,1.490387347,1.532146719,1.573175035,1.613417521,1.65283359,1.691394702,1.729082583,1.765887767,1.801808367,1.836848942,1.871018454,1.904328548,1.936793106,1.968427979,1.999250752,2.029280541,2.058537821,2.087044273,2.114822653,2.141896681,2.168290935,2.194030694,2.21914099,2.243645705,2.267567594,2.290928392,2.313748904,2.336049096,2.357848162,2.379164601,2.400016268,2.420420434,2.440393834
2009-01-19,1.163100024,1.030714541,0.957845069,0.909169132,0.876002304,0.854262202,0.841671807,0.836860052,0.839030961,0.847661499,0.862285837,0.882415006,0.907430161,0.936655762,0.969473202,1.005311739,1.043634422,1.083928699,1.125704441,1.168528616,1.212046142,1.255964756,1.300041358,1.344071768,1.387883333,1.43133297,1.47430565,1.516709739,1.558472957,1.599539158,1.639865727,1.679421463,1.718184852,1.756142642,1.793288663,1.829622843,1.865150281,1.899879486,1.933820881,1.966986472,1.999389652,2.031045038,2.061968331,2.092176186,2.121686115,2.150516384,2.178685942,2.206214343,2.233121654,2.2594279,2.285152458,2.310314047,2.334930793,2.35902028,2.382599601,2.405685404,2.428293926,2.450441033,2.472142249,2.493412787
2009-01-20,1.103878651,0.952339617,0.871316555,0.815859389,0.776431429,0.748741504,0.730353831,0.719949782,0.716784474,0.720261708,0.729781357,0.744787533,0.764728969,0.789055118,0.817244804,0.848799791,0.883238036,0.92008919,0.958895018,0.999238082,1.040759151,1.083146009,1.126123228,1.16944451,1.212887856,1.256261423,1.299408086,1.342200128,1.384534168,1.426327108,1.467512856,1.508039675,1.547868004,1.586968668,1.625321396,1.662913584,1.699739174,1.735796934,1.771088992,1.805620339,1.839398485,1.872433157,1.904736038,1.936320551,1.96720166,1.997395706,2.026920259,2.055793989,2.084036505,2.111667584,2.138706391,2.165171454,2.191080727,2.21645164,2.24130115,2.26564578,2.289501659,2.312884557,2.33580991,2.358292856
2009-01-21,1.06281836,0.901734949,0.818241232,0.762077671,0.722214903,0.694461983,0.676735231,0.667582309,0.665825573,0.67052001,0.680871686,0.696217529,0.715962395,0.739547312,0.766479748,0.79631689,0.828651017,0.86309976,0.89930162,0.936930691,0.975705233,1.015378913,1.055733107,1.096571129,1.137714488,1.179006223,1.220313495,1.261523856,1.302541734,1.343285622,1.383685804,1.423682518,1.463224448,1.502267477,1.540773662,1.578710378,1.616049674,1.65276867,1.688850047,1.72428147,1.759054986,1.793166496,1.82661531,1.859403759,1.891536861,1.923022026,1.953868803,1.984088658,2.013694727,2.042701069,2.071121958,2.098971802,2.126265132,2.15301659,2.179240919,2.204952954,2.230167613,2.25489989,2.279164851,2.302977624
2009-01-22,1.003169979,0.854966331,0.787939083,0.746564503,0.72008573,0.704214867,0.696409666,0.694947976,0.698834379,0.707566209,0.720805832,0.738265128,0.759700822,0.784858825,0.813424049,0.845034757,0.879296278,0.915790158,0.954085168,0.993783566,1.034549961,1.076099906,1.118188823,1.160603697,1.203157219,1.245688735,1.288065851,1.330180081,1.371942723,1.413281563,1.454138216,1.494465965,1.53422799,1.573395919,1.611948614,1.649871173,1.687154031,1.723791675,1.759781505,1.795123414,1.829819478,1.863873704,1.897291797,1.930080975,1.962249793,1.993808005,2.024766433,2.055136853,2.084931872,2.114164448,2.142847453,2.170993634,2.198615631,2.225725984,2.252337142,2.278461472,2.304111265,2.329298745,2.35403607,2.378335345
2009-01-23,1.004283522,0.864523166,0.785060686,0.74026156,0.715174732,0.701893523,0.696370265,0.696535827,0.70141868,0.710646442,0.72408806,0.741627768,0.762955096,0.787627594,0.815254303,0.845495191,0.878046166,0.9126291,0.948985251,0.986872744,1.026064546,1.066345246,1.107508525,1.149355264,1.191693077,1.234346359,1.277164921,1.32002058,1.362803364,1.405418477,1.447783854,1.489828168,1.531489206,1.572712526,1.613450351,1.653660638,1.693306444,1.732356728,1.770787025,1.808578756,1.845718507,1.882197415,1.918010637,1.953156898,1.98763809,2.021458928,2.054626654,2.087150767,2.11904274,2.150315098,2.180980563,2.211051961,2.240542212,2.269464318,2.297831361,2.325656493,2.352952929,2.379733943,2.406012861,2.431803062
